confectionery_name,province,phone_number,cost,work_start,work_end,confectionery_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
نان و شیرینی بروله,‎ديباجي جنوبي,26653080,2,07:00:00,23:00:00,‎ديباجي جنوبي،جنب بانك شهر، پلاك 106,False,False,True,False,False,False,False,True,0,0,0,0,0,35.79043826640753,51.46125443279743
"کافه,نان و شیرینی,بوتیک کیک وانیا",خیابان‌شریعتی‌,88430913,2,09:00:00,23:00:00,خیابان‌شریعتی‌،خیابان‌ملک‌،پلاک‌۲۵,False,False,False,False,True,False,False,True,0,0,0,0,0,35.71868163453833,51.43643327057361
نان و شیرینی پیراشکی بهمن,میدان انقلاب جنب سینما بهمن پلاک ۲۸,66498244,2,11:00:00,23:00:00,میدان انقلاب جنب سینما بهمن پلاک ۲۸,False,False,False,False,False,False,False,True,0,0,0,0,0,35.7012057429562,51.39262377533053
شیرینی فروشی شیرین,میدان تجریش,22232121,2,09:00:00,22:00:00,میدان تجریش،خیابان دزاشیب،خیابان کریمی،روبروی سفارت عمان (قبرس سابق)پلاک۱۸۱,False,False,False,False,False,False,False,True,0,0,0,0,0,35.80242277470009,51.44301742315292
شیرینی فروشی تامای,خیابان میرداماد,22905270,2,06:30:00,23:00:00,خیابان میرداماد ، خیابان شمس تبریزی ، بین کوچه سوم و پنجم ، پلاک ۱۲,False,False,True,False,False,False,False,True,0,0,0,0,0,35.7620503174851,51.4319345355034
شیرینی فروشی سرتاس,خیابان شریعتی,22643177,2,08:00:00,22:00:00,خیابان شریعتی، روبروی مسجد جامع قلهک ، شماره ۱۵۷۵,False,False,True,False,False,False,False,True,0,0,0,0,0,35.77469494147571,51.4371232688427
شیرینی فروشی رنگینک,بلوار زمزم,33146957,2,10:00:00,22:00:00,بلوار زمزم، بعد از بلوار ابوذر،پلاک 134,False,False,False,False,False,False,False,True,0,0,0,0,0,35.66135517260746,51.48314863443374
شیرینی فروشی الماس غرب (شعبه 1),اشرفی اصفهانی,44005406,2,08:00:00,22:30:00,اشرفی اصفهانی،باغ فیض،خیابان خجسته پور،پلاک۱۰۸,False,False,False,False,False,False,False,True,0,0,0,0,0,35.74170877093704,51.32240921258926
شیرینی فروشی سناتور,نارمک,77818214,2,09:00:00,22:00:00,نارمک، میدان حلال احمر، ابتدای خیابان گلستان,False,False,False,False,False,False,False,True,0,0,0,0,0,35.73171313962945,51.48503694182921
شیرینی فروشی یزدی,خیابان ثانی(۴۶متری نارمک),77905043,2,08:00:00,22:30:00,خیابان ثانی(۴۶متری نارمک)، روبروی خیابان سمنگان,False,False,False,False,False,False,False,True,0,0,0,0,0,35.72123354840114,51.48523296131509
